ROP_Open,ROP_Close,ROP_Volume,FICO_Open,FICO_Close,FICO_Volume,ADBE_Open,ADBE_Close,ADBE_Volume,TDY_Open,TDY_Close,TDY_Volume,LRCX_Open,LRCX_Close,LRCX_Volume,AAPL_Open,AAPL_Close,AAPL_Volume,MSFT_Open,MSFT_Close,MSFT_Volume,DateIE
16.278394705800892,15.309762954711914,88000,15.191551624187897,15.0665922164917,65813,16.69356400859822,16.274673461914062,7384400,9.5625,9.375,315400,32.91730023690784,32.735233306884766,3183900,0.7969737786863894,0.8506435751914978,535796800,36.61502326372162,36.36156463623047,53228400,2000-01-03 00:00:00-05:00
15.067603601276545,14.610194206237793,153200,15.013032860228032,14.42393684387207,102263,15.638577797658487,14.909398078918457,7813200,9.375,9.125,444300,31.815815130617544,31.315135955810547,3295800,0.8226210086935529,0.7789254784584045,512377600,35.42572256886337,35.133270263671875,54119000,2000-01-04 00:00:00-05:00
14.610188500205084,14.421843528747559,262200,14.459644201320433,14.281129837036133,74925,14.459479802968552,15.204174041748047,14927200,9.0625,9.5,109100,31.16948700797295,30.859975814819336,3094800,0.7884240848783992,0.790323793888092,778321600,34.66535210648714,35.50371551513672,64059600,2000-01-05 00:00:00-05:00
14.421843528747559,14.421843528747559,211800,14.245425914448266,13.888397216796875,127913,15.250714821371474,15.328287124633789,10221200,9.625,9.25,120700,30.532255910509623,30.641494750976562,2642100,0.8064729621651324,0.7219305038452148,767972800,34.99679224057631,34.31440353393555,54976600,2000-01-06 00:00:00-05:00
14.368029324447408,14.637093544006348,181600,13.745584841274331,14.174018859863281,105638,15.281743404948113,16.072980880737305,8253200,9.5625,9.5625,222100,30.732535193099714,31.096662521362305,3684600,0.7333295069928801,0.7561275362968445,460734400,33.88546823960506,34.76282501220703,62013600,2000-01-07 00:00:00-05:00
14.744730520335269,14.771636962890625,107000,14.245425106520303,14.727413177490234,159638,16.228125827463145,16.693559646606445,10987200,9.5625,9.75,97500,31.2058892229344,32.698822021484375,5637300,0.7751254329383732,0.742828905582428,505064000,35.38675146803824,35.01631164550781,44963600,2000-01-10 00:00:00-05:00
14.744730664355288,14.583292007446289,79000,14.67386079375259,15.030889511108398,125888,16.678050035488106,15.545494079589844,9616000,9.5,9.375,290600,32.261879519841514,32.29829025268555,4290300,0.7290552249450452,0.7048323750495911,441548800,34.7823145577567,34.119422912597656,46743600,2000-01-11 00:00:00-05:00
14.667411930189221,14.694374084472656,101600,15.084439431872585,14.673857688903809,79650,15.576521549205724,15.467920303344727,8051200,9.375,9.375,60300,32.55316621378848,33.20859909057617,5138100,0.7219305862523286,0.6625617146492004,976068800,33.84646532539778,33.00810241699219,66532400,2000-01-12 00:00:00-05:00
14.694375373699046,14.559564590454102,107400,14.602453327293432,14.709562301635742,58050,15.59203692844936,16.29018783569336,5527200,9.25,9.25,82400,33.40887741598286,33.135780334472656,2729100,0.7180119365283267,0.7352291941642761,1032684800,32.55969379812047,33.63201904296875,83144000,2000-01-13 00:00:00-05:00
14.559553001276416,14.532590866088867,111400,14.780967900055936,14.995185852050781,54000,16.538422098258664,16.46084976196289,5136800,9.25,9.5625,36100,33.809417432443254,37.796634674072266,8557200,0.7599270052393097,0.7632514834403992,390376000,33.437068191562304,35.01631164550781,73416400,2000-01-14 00:00:00-05:00
14.58652226456972,14.424749374389648,73200,14.88807420611229,15.209400177001953,92475,16.150557146407664,15.886811256408691,5201600,9.5625,9.625,72300,37.21402432015803,37.77842712402344,5704800,0.767526528896224,0.789848804473877,459177600,34.87981565935502,35.97163772583008,81483600,2000-01-18 00:00:00-05:00
14.424749374389648,14.424749374389648,51800,15.173693695203033,15.619979858398438,58388,15.816999354084036,15.669610977172852,4559200,9.75,9.6875,429300,37.96049023175933,39.72651672363281,5329800,0.8026726392382577,0.8097973465919495,597643200,34.47036932116357,33.37854766845703,97568200,2000-01-19 00:00:00-05:00
14.370823689438335,14.910066604614258,101000,15.619983975228049,15.459320068359375,67163,15.79372379104958,15.840267181396484,4248800,9.6875,9.4375,21800,40.290915830909164,41.67460632324219,6240900,0.8777158596673292,0.8625174760818481,1831132800,33.39805053315073,33.06660461425781,56349800,2000-01-20 00:00:00-05:00
14.910072359320234,15.745899200439453,197400,15.38791656350204,14.69171142578125,223763,16.01092863746476,15.607552528381348,6900000,9.375,9.75,16100,43.54986443295641,40.47297286987305,7509000,0.8682164872183209,0.8458941578865051,495924800,33.37854610580996,32.36471176147461,68416200,2000-01-21 00:00:00-05:00
15.745899536449057,15.611088752746582,301600,14.763118807017785,14.834525108337402,162338,15.661852682234722,15.033515930175781,5895600,9.9375,9.625,122900,42.20260918650408,39.18033218383789,4511700,0.8240457860174848,0.8074226379394531,440876800,32.379343819029536,31.584848403930664,63597600,2000-01-24 00:00:00-05:00
15.530189610041237,15.017909049987793,315200,14.852372795262605,14.352534294128418,310500,14.93267039776696,15.638577461242676,7566000,9.75,9.5625,40200,39.58088896762666,40.16349411010742,3595200,0.7979234878464997,0.853018045425415,497145600,31.506869145077413,32.0722770690918,59823200,2000-01-25 00:00:00-05:00
